tree,depth,RMSE
35,18,0.009648
36,18,0.009064
37,18,0.009343
38,18,0.009248
39,18,0.009291
40,18,0.009239
20,19,0.009305
21,19,0.008865
22,19,0.009828
23,19,0.009397
24,19,0.009066
25,19,0.009651
26,19,0.00936
27,19,0.009221
28,19,0.009173
29,19,0.009239
30,19,0.009229
31,19,0.009372
32,19,0.009321
33,19,0.009267
34,19,0.009522
35,19,0.009309
36,19,0.009295
37,19,0.009401
38,19,0.009419
39,19,0.009209
40,19,0.00896
20,20,0.009548
21,20,0.009521
22,20,0.00954
23,20,0.009531
24,20,0.00913
25,20,0.008999
26,20,0.009636
27,20,0.009392
28,20,0.009565
29,20,0.008827
30,20,0.009098
31,20,0.009269
32,20,0.009072
33,20,0.008946
34,20,0.009232
35,20,0.009479
36,20,0.008938
37,20,0.009351
38,20,0.009223
39,20,0.0094
40,20,0.009073
20,21,0.00922
21,21,0.009387
22,21,0.009446
23,21,0.009592
24,21,0.009298
25,21,0.009252
26,21,0.009309
27,21,0.009364
28,21,0.009265
29,21,0.009503
30,21,0.00915
31,21,0.009293
32,21,0.009131
33,21,0.009289
34,21,0.008921
35,21,0.009054
36,21,0.009349
37,21,0.009684
38,21,0.009263
39,21,0.009337
40,21,0.009274
20,22,0.009256
21,22,0.009403
22,22,0.008967
23,22,0.009326
24,22,0.009343
25,22,0.009552
26,22,0.009055
27,22,0.009191
28,22,0.009177
29,22,0.009524
30,22,0.009436
31,22,0.0093
32,22,0.009453
33,22,0.00878
34,22,0.009256
35,22,0.009419
36,22,0.009165
37,22,0.009396
38,22,0.00917
39,22,0.009389
40,22,0.009359
20,23,0.009343
21,23,0.009661
22,23,0.009381
23,23,0.009184
24,23,0.009525
25,23,0.00906
26,23,0.009444
27,23,0.009628
28,23,0.009371
29,23,0.00909
30,23,0.009475
31,23,0.008965
32,23,0.009114
33,23,0.00903
34,23,0.00886
35,23,0.008868
36,23,0.008889
37,23,0.009112
38,23,0.008827
39,23,0.009061
40,23,0.009076
20,24,0.009262
21,24,0.009404
22,24,0.009349
23,24,0.009219
24,24,0.009205
25,24,0.009354
26,24,0.009465
27,24,0.009305
28,24,0.009116
29,24,0.009357
30,24,0.009082
31,24,0.009225
32,24,0.009414
33,24,0.00931
34,24,0.009418
35,24,0.009658
36,24,0.00917
37,24,0.009337
38,24,0.009052
39,24,0.009522
40,24,0.009267
20,25,0.009075
21,25,0.009652
22,25,0.009134
23,25,0.009616
24,25,0.009441
25,25,0.009203
26,25,0.008972
27,25,0.009525
28,25,0.009043
29,25,0.009169
30,25,0.00946
31,25,0.009332
32,25,0.009419
33,25,0.009404
34,25,0.009332
35,25,0.009067
36,25,0.009235
37,25,0.009172
38,25,0.009378
39,25,0.009143
40,25,0.009346
20,26,0.009217
21,26,0.009442
22,26,0.009248
23,26,0.009631
24,26,0.009072
25,26,0.00918
26,26,0.009287
27,26,0.009281
28,26,0.009665
29,26,0.00938
30,26,0.009572
31,26,0.008868
32,26,0.009186
33,26,0.008883
34,26,0.009432
35,26,0.009265
36,26,0.008965
37,26,0.009184
38,26,0.009378
39,26,0.009378
40,26,0.009196
20,27,0.009763
21,27,0.009488
22,27,0.009936
